SKU OG,SKU AC
brand50 sub_brand9 BOTELLA NO RETORNABLE 207.0,CORONITA EXTRA BOTELLA NO RETORNABLE 207.0
brand45 sub_brand2 BOTELLA NO RETORNABLE 250.0,BUDWEISER T. BOTELLA NO RETORNABLE 250.0
brand24 sub_brand2 LATA NO RETORNABLE 500.0,TROOPER T. LATA NO RETORNABLE 500.0
brand43 sub_brand2 BOTELLA NO RETORNABLE 500.0,PAULANER HEFE-WEIBBIER T. BOTELLA NO RETORNABLE 500.0
brand20 sub_brand3 BOTELLA NO RETORNABLE 330.0,HEINEKEN CTE BOTELLA NO RETORNABLE 330.0
brand12 sub_brand21 LATA NO RETORNABLE 330.0,POKER LIGERA LATA NO RETORNABLE 330.0
brand1 sub_brand7 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0
brand1 sub_brand1 LATA NO RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 330.0
brand46 sub_brand37 BOTELLA NO RETORNABLE 330.0,OTRAS MARCAS ESPECIAL BOTELLA NO RETORNABLE 330.0
brand83 sub_brand3 BOTELLA NO RETORNABLE 310.0,CUSQUENA CTE BOTELLA NO RETORNABLE 310.0
brand12 sub_brand3 BOTELLA RETORNABLE 250.0,POKER CTE BOTELLA RETORNABLE 250.0
brand20 sub_brand17 BOTELLA NO RETORNABLE 330.0,HEINEKEN HEINEKEN 0.0 BOTELLA NO RETORNABLE 330.0
brand14 sub_brand3 LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 330.0
brand26 sub_brand9 BOTELLA NO RETORNABLE 210.0,CORONA EXTRA BOTELLA NO RETORNABLE 210.0
brand46 sub_brand2 LATA NO RETORNABLE 500.0,OTRAS MARCAS T. LATA NO RETORNABLE 500.0
brand33 sub_brand3 BOTELLA RETORNABLE 330.0,TECATE CTE BOTELLA RETORNABLE 330.0
brand46 sub_brand2 BOTELLA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 330.0
brand12 sub_brand3 BOTELLA RETORNABLE 1000.0,POKER CTE BOTELLA RETORNABLE 1000.0
brand20 sub_brand3 LATA NO RETORNABLE 269.0,HEINEKEN CTE LATA NO RETORNABLE 269.0
brand61 sub_brand3 LATA NO RETORNABLE 330.0,BECK'S CTE LATA NO RETORNABLE 330.0
brand15 sub_brand3 BOTELLA RETORNABLE 330.0,PILSEN CTE BOTELLA RETORNABLE 330.0
brand1 sub_brand33 BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA TRIGO BOTELLA NO RETORNABLE 330.0
brand11 sub_brand2 LATA NO RETORNABLE 500.0,BITBURGER T. LATA NO RETORNABLE 500.0
brand27 sub_brand2 BOTELLA NO RETORNABLE 330.0,CZECHVAR T. BOTELLA NO RETORNABLE 330.0
